江苏频道,#genre#
山西卫视,http://192.168.5.1:4000/udp/239.49.1.55:8000?fcc=180.100.72.185:15970
陕西卫视,http://192.168.5.1:4000/udp/239.49.0.233:8000?fcc=180.100.72.185:15970
新疆卫视,http://192.168.5.1:4000/udp/239.49.1.57:8000?fcc=180.100.72.185:15970
兵团卫视,http://192.168.5.1:4000/udp/239.49.1.58:8000?fcc=180.100.72.185:15970
宁夏卫视,http://192.168.5.1:4000/udp/239.49.1.60:8000?fcc=180.100.72.185:15970
西藏卫视,http://192.168.5.1:4000/udp/239.49.1.56:8000?fcc=180.100.72.185:15970
厦门卫视,http://192.168.5.1:4000/udp/239.49.0.230:8000?fcc=180.100.72.185:15970
内蒙古卫视,http://192.168.5.1:4000/udp/239.49.0.180:8000?fcc=180.100.72.185:15970
CETV-1,http://192.168.5.1:4000/udp/239.49.8.115:8000?fcc=180.100.72.185:15970
CETV-4,http://192.168.5.1:4000/udp/239.49.0.125:8000?fcc=180.100.72.185:15970
数字频道,#genre#
欢笑剧场4K,http://192.168.5.1:4000/udp/239.49.8.106:8000?fcc=180.100.72.185:15970
欢笑剧场,http://192.168.5.1:4000/udp/239.49.8.47:8060?fcc=180.100.72.185:15970
都市剧场,http://192.168.5.1:4000/udp/239.49.0.99:8000?fcc=180.100.72.185:15970
生活时尚,http://192.168.5.1:4000/udp/239.49.8.40:8004?fcc=180.100.72.185:15970
东方财经,http://192.168.5.1:4000/udp/239.49.0.95:8000?fcc=180.100.72.185:15970
中国天气,http://192.168.5.1:4000/udp/239.49.0.94:8000?fcc=180.100.72.185:15970
法治天地,http://192.168.5.1:4000/udp/239.49.0.96:8000?fcc=180.100.72.185:15970
动漫秀场,http://192.168.5.1:4000/udp/239.49.8.43:8028?fcc=180.100.72.185:15970
游戏风云,http://192.168.5.1:4000/udp/239.49.8.41:8012?fcc=180.100.72.185:15970
睛彩竞技,http://192.168.5.1:4000/udp/239.49.8.39:8000?fcc=180.100.72.185:15970
睛彩篮球,http://192.168.5.1:4000/udp/239.49.8.42:8000?fcc=180.100.72.185:15970
睛彩青少,http://192.168.5.1:4000/udp/239.49.8.46:8000?fcc=180.100.72.185:15970
睛彩广场舞,http://192.168.5.1:4000/udp/239.49.8.64:8000?fcc=180.100.72.185:15970
茶频道,http://192.168.5.1:4000/udp/239.49.0.146:8000?fcc=180.100.72.185:15970
快乐垂钓,http://192.168.5.1:4000/udp/239.49.0.114:8000?fcc=180.100.72.185:15970
金鹰纪实,http://192.168.5.1:4000/udp/239.49.8.79:8000?fcc=180.100.72.185:15970
金鹰卡通,http://192.168.5.1:4000/udp/239.49.8.33:8000?fcc=180.100.72.185:15970
武术世界,http://192.168.5.1:4000/udp/239.49.0.205:8000?fcc=180.100.72.185:15970
文物宝库,http://192.168.5.1:4000/udp/239.49.0.209:8000?fcc=180.100.72.185:15970
梨园频道,http://192.168.5.1:4000/udp/239.49.8.193:8000?fcc=180.100.72.185:15970
超清频道,#genre#
CCTV-16 奥林匹克4K,http://192.168.5.1:4000/udp/239.49.0.109:8000?fcc=180.100.72.185:15970
CCTV-4K 超高清,http://192.168.5.1:4000/udp/239.49.0.82:8000?fcc=180.100.72.185:15970
北京卫视4K-25FPS,http://192.168.5.1:4000/udp/239.49.0.42:8000?fcc=180.100.72.185:15970
深圳卫视4K-50FPS,http://192.168.5.1:4000/udp/239.49.1.28:8000?fcc=180.100.72.185:15970
深圳卫视4K-25FPS,http://192.168.5.1:4000/udp/239.49.1.27:8000?fcc=180.100.72.185:15970
广东卫视4K-50FPS,http://192.168.5.1:4000/udp/239.49.1.26:8000?fcc=180.100.72.185:15970
